company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
Cynergy2,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
DAXUS (Formação Prática),1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Doctolib GmbH,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
E.ON,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ENTUSIASMO Consultoria em RH,1,0,0,0,0,0,20.0,HR,HR,10.1,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
Eicon | Soluções que transformam vidas,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Elétron Energy,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Emanuel,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
EquiTalent,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Espaçolaser,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
FLAPA - Engenharia e Mineração,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Falqon,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Fortefarma Administradora De Bens E Participacoes,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Fundação Estatal Saúde da Família,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Fundação Francisco Manuel dos Santos,1,0,0,0,0,0,20.0,Other,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Gates Corporation,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Generali,1,0,0,0,0,0,20.0,Other,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Foxbit,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Gera,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo KMR,1,0,0,0,0,0,20.0,Project / Program Manager,Management,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Moura,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Otimiza,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Treviso | Concessionária Volvo,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Gráfica Forma Certa,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Harpia Consultoria,1,0,0,0,0,0,20.0,HR,HR,10.1,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
Helios Kliniken GmbH,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Hippus Aldeia,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
HubSync,1,0,0,0,0,0,20.0,Operations,Operations,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ICTS,1,0,0,0,0,1,20.0,Data Scientist,Data Science / AI,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
IMT - Mauá - Instituto Mauá de Tecnologia,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ING,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ITP Soluções,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Industrias San Miguel,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Instituto do Câncer Infantil,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Inter&Co,1,0,0,0,0,0,20.0,Other,BI,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
JEM Systems,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Jadara Solutions,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
LCM Sports and Pet Products,1,0,0,0,0,0,20.0,Operations,Management,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Lesaffre,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
LigueLead,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Lion Equipamentos,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Listening Dados e Pesquisas,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
MAPFRE,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
MARS Solutions Group,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
MS Serviços LTDA,1,0,0,0,0,0,20.0,Operations,Operations,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
MSD,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Marlin,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Mars,1,0,0,0,0,0,20.0,Other,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Mixam,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Natural Valle,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Nightfall AI,1,0,0,0,0,0,20.0,Other,Other,10.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Nike,1,0,0,0,0,1,20.0,Data Analyst,Analytics,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Nova Casa Distribuidora S/A,1,0,0,0,0,0,20.0,HR,HR,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Nutrien Soluções Agrícolas,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ONE HIRING,1,0,0,0,0,0,20.0,Other,Other,10.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
