rank,company_canonical,unresolved_contact_count,cumulative_contacts,cumulative_pct_of_unresolved,recruiter_count,talent_acquisition,hiring_managers,data_leaders,avg_priority_score,suggested_bucket,suggested_confidence,suggested_reason
72,GRUPO VORP,2,243,10.1,0,0,0,0,10.0,,0.0,no usable signal yet — candidate for manual company mapping override
73,ELEVATION PARTNERS,2,245,10.2,0,0,0,0,22.0,,0.0,no usable signal yet — candidate for manual company mapping override
74,INFINITE COMPUTER,2,247,10.3,0,0,0,0,23.0,,0.0,no usable signal yet — candidate for manual company mapping override
75,FALKEN PERSONALBERATUNG,2,249,10.4,0,0,0,0,16.0,,0.0,no usable signal yet — candidate for manual company mapping override
76,FALKENHERZ,2,251,10.5,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
77,AEGEA SANEAMENTO,2,253,10.6,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
78,EMPACAR,2,255,10.6,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
79,BALL,2,257,10.7,0,0,0,0,25.5,,0.0,no usable signal yet — candidate for manual company mapping override
80,GRAVITAS RECRUITMENT (),2,259,10.8,0,0,0,0,31.5,,0.0,no usable signal yet — candidate for manual company mapping override
81,AGIBANK,2,261,10.9,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
82,JLINK CONNECTING EXPERTS,2,263,11.0,0,0,0,0,18.0,,0.0,no usable signal yet — candidate for manual company mapping override
83,BANCO CARREFOUR,2,265,11.1,0,0,0,0,23.5,,0.0,no usable signal yet — candidate for manual company mapping override
84,INFLEET - GESTÃO DE FROTAS,2,267,11.1,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
85,LYNK HUMAN CAPITAL,2,269,11.2,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
86,LIGHTHOUSE,2,271,11.3,0,0,0,0,30.0,,0.0,no usable signal yet — candidate for manual company mapping override
87,LOFT,2,273,11.4,0,0,0,0,21.5,,0.0,no usable signal yet — candidate for manual company mapping override
88,LUBY,2,275,11.5,0,0,0,0,24.5,,0.0,no usable signal yet — candidate for manual company mapping override
89,MAGNIT,2,277,11.6,0,0,0,0,30.5,,0.0,no usable signal yet — candidate for manual company mapping override
90,CONSTELLIUM,2,279,11.6,0,0,0,0,30.5,,0.0,no usable signal yet — candidate for manual company mapping override
91,MAXXI,2,281,11.7,0,0,0,0,19.5,,0.0,no usable signal yet — candidate for manual company mapping override
92,MONDELĒZ INTERNATIONAL,2,283,11.8,0,0,0,0,30.0,,0.0,no usable signal yet — candidate for manual company mapping override
93,MYCON,2,285,11.9,0,0,0,0,16.5,,0.0,no usable signal yet — candidate for manual company mapping override
94,BULLLA,2,287,12.0,0,0,0,0,11.5,,0.0,no usable signal yet — candidate for manual company mapping override
95,NVB INNOVATION BUSINESS,2,289,12.1,0,0,0,0,29.0,,0.0,no usable signal yet — candidate for manual company mapping override
96,JUSTOS,2,291,12.1,0,0,0,0,26.0,,0.0,no usable signal yet — candidate for manual company mapping override
97,NELSON WILIANS ADVOGADOS,2,293,12.2,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
98,E-IT,2,295,12.3,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
99,NEXER ENTERPRISE APPLICATIONS,2,297,12.4,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
100,NOMAD,2,299,12.5,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
101,NORDEX,2,301,12.6,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
102,NOVARTIS,2,303,12.6,0,0,0,0,24.5,,0.0,no usable signal yet — candidate for manual company mapping override
103,PROPOSITO HUMAN CAPITAL,2,305,12.7,0,0,0,0,18.5,,0.0,no usable signal yet — candidate for manual company mapping override
104,PALANTEC,2,307,12.8,0,0,0,0,23.0,,0.0,no usable signal yet — candidate for manual company mapping override
105,PAYTRACK,2,309,12.9,0,0,0,0,24.5,,0.0,no usable signal yet — candidate for manual company mapping override
106,PEAK ONE,2,311,13.0,0,0,0,0,30.0,,0.0,no usable signal yet — candidate for manual company mapping override
107,PETRORECONCAVO,2,313,13.1,0,0,0,0,13.0,,0.0,no usable signal yet — candidate for manual company mapping override
108,PETROBAHIA,2,315,13.1,0,0,0,0,7.5,,0.0,no usable signal yet — candidate for manual company mapping override
109,CACEIS,2,317,13.2,0,0,0,0,16.5,,0.0,no usable signal yet — candidate for manual company mapping override
110,PHITURE,2,319,13.3,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
111,POSITIVO TECNOLOGIA,2,321,13.4,0,0,0,0,26.5,,0.0,no usable signal yet — candidate for manual company mapping override
112,F1RST TECNOLOGIA,2,323,13.5,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
113,PREFEITURA DE CUBATÃO,2,325,13.6,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
114,IPIRANGA,2,327,13.6,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
115,PROJECTIVE TALENT | PART OF PROJECTIVE,2,329,13.7,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
116,QSOFT,2,331,13.8,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
117,GM FINANCIAL,2,333,13.9,0,0,0,0,28.5,,0.0,no usable signal yet — candidate for manual company mapping override
118,CAST,2,335,14.0,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
119,RED,2,337,14.1,0,0,0,0,33.0,,0.0,no usable signal yet — candidate for manual company mapping override
120,COMPUTER FUTURES,2,339,14.1,0,0,0,0,29.0,,0.0,no usable signal yet — candidate for manual company mapping override
121,CAVEO,2,341,14.2,0,0,0,0,26.0,,0.0,no usable signal yet — candidate for manual company mapping override
122,RIVERSTATE PREMIUM RECRUITING,2,343,14.3,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
123,ROCHE,2,345,14.4,0,0,0,0,22.0,,0.0,no usable signal yet — candidate for manual company mapping override
124,ROX PARTNER,2,347,14.5,0,0,0,0,24.0,,0.0,no usable signal yet — candidate for manual company mapping override
125,ROYAL CARIBBEAN,2,349,14.6,0,0,0,0,31.0,,0.0,no usable signal yet — candidate for manual company mapping override
126,KIS,2,351,14.6,0,0,0,0,25.5,,0.0,no usable signal yet — candidate for manual company mapping override
127,CESAR,2,353,14.7,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
128,SUBSCRIBE,2,355,14.8,0,0,0,0,15.0,,0.0,no usable signal yet — candidate for manual company mapping override
129,SANOFI,2,357,14.9,0,0,0,0,13.0,,0.0,no usable signal yet — candidate for manual company mapping override
130,FYGI,2,359,15.0,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
131,GP JOULE GRUPPE,2,361,15.1,0,0,0,0,12.5,,0.0,no usable signal yet — candidate for manual company mapping override
132,GRUPO 3CORAÇÕES,2,363,15.1,0,0,0,0,27.0,,0.0,no usable signal yet — candidate for manual company mapping override
133,SOFIST,2,365,15.2,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
134,SOFTPLAN,2,367,15.3,0,0,0,0,19.0,,0.0,no usable signal yet — candidate for manual company mapping override
135,SOFTYS,2,369,15.4,0,0,0,0,27.0,,0.0,no usable signal yet — candidate for manual company mapping override
136,SPARKASSEN-PERSONALBERATUNG,2,371,15.5,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
137,SPLASH,2,373,15.6,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
138,EQUINIX,2,375,15.6,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
139,FADEL TRANSPORTES E LOGÍSTICA,2,377,15.7,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
140,STARIAN,2,379,15.8,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
141,ESCALE,2,381,15.9,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
142,SWAP,2,383,16.0,0,0,0,0,29.5,,0.0,no usable signal yet — candidate for manual company mapping override
143,SYSMANAGER,2,385,16.1,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
144,TECNOMEC ENGINEERING SRL,2,387,16.1,0,0,0,0,22.0,,0.0,no usable signal yet — candidate for manual company mapping override
145,TAKEDA,2,389,16.2,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
