company_clean,connection_count,recruiter_count,hiring_mgr_count,data_leader_count,avg_priority_score,company_canonical,manual_market,manual_category,manual_notes
Wilson Sons,2,0,0,0,8.0,WILSON SONS,,,
Zenika,2,0,0,0,28.5,ZENIKA,,,
amaxo GmbH,2,0,0,0,18.0,AMAXO,,,
Zensy,2,0,0,0,25.5,ZENSY,,,
slantis,2,0,0,0,30.0,SLANTIS,,,
bet365,2,0,0,0,17.0,BET365,,,
empiriecom,2,0,0,0,26.5,EMPIRIECOM,,,
dLocal,2,0,0,0,17.5,DLOCAL,,,
hub xp,2,0,0,0,25.0,HUB XP,,,
ACHS,2,0,0,0,19.0,ACHS,,,
Arcadis,1,0,0,0,18.0,ARCADIS,,,
Arcadea Group,1,0,0,0,18.0,ARCADEA,,,
ArcTouch,1,0,0,0,21.0,ARCTOUCH,,,
Atlas NextWave,1,0,0,0,25.0,ATLAS NEXTWAVE,,,
Atlas Governance,1,0,0,0,23.0,ATLAS GOVERNANCE,,,
Astrana Health,1,0,0,0,33.0,ASTRANA HEALTH,,,
Astra Financial Indonesia,1,0,0,0,30.0,ASTRA FINANCIAL INDONESIA,,,
Astellas Pharma,1,0,0,0,12.0,ASTELLAS PHARMA,,,
AssureSoft,1,0,0,0,27.0,ASSURESOFT,,,
Assurant,1,0,0,0,12.0,ASSURANT,,,
Associação Comercial do Paraná,1,0,0,0,27.0,ASSOCIAÇÃO COMERCIAL DO PARANÁ,,,
Associacao Junior Achievement Do Rio Grande Do Sul,1,0,0,0,13.0,ASSOCIACAO JUNIOR ACHIEVEMENT DO RIO GRANDE DO SUL,,,
Asset Management,1,0,0,0,23.0,ASSET MANAGEMENT,,,
Asset Locale,1,0,0,0,20.0,ASSET LOCALE,,,
Assessoria RG,1,0,0,0,21.0,ASSESSORIA RG,,,
Asian Bloom HR,1,0,0,0,19.0,ASIAN BLOOM HR,,,
"Aseguradora General, S.A",1,0,0,0,8.0,ASEGURADORA GENERAL,,,
Ascentt,1,0,0,0,28.0,ASCENTT,,,
Arvenda LLC,1,0,0,0,23.0,ARVENDA,,,
Aventa Solutions,1,0,0,0,15.0,AVENTA,,,
Avanza,1,0,0,0,21.0,AVANZA,,,
Avant Business Services,1,0,0,0,11.0,AVANT BUSINESS,,,
Autónomo,1,0,0,0,12.0,AUTÓNOMO,,,
Auten Energy - Energia Compartilhada,1,0,0,0,15.0,AUTEN ENERGY - ENERGIA COMPARTILHADA,,,
Auria,1,0,0,0,17.0,AURIA,,,
Aurean Blue,1,0,0,0,25.0,AUREAN BLUE,,,
Aulas particulares,1,0,0,0,8.0,AULAS PARTICULARES,,,
AudioCodes,1,0,0,0,18.0,AUDIOCODES,,,
Attach Group,1,0,0,0,26.0,ATTACH,,,
