company_name,company_follow_key,followed_on,days_since_followed,matched_connection_count,matched_recruiters,matched_talent_acquisition,matched_hiring_managers,matched_data_leaders,matched_top_contacts,matched_untapped_contacts,matched_lead_reactivation_contacts,matched_opportunity_history_events,matched_inbound_opportunities,matched_soft_closed_leads,matched_usd_crm_leads,likely_company_category,likely_opportunity_bucket,follow_signal_confidence,company_follow_reason,signals
Entrepreneur Stories,entrepreneur stories,2026-07-25,36,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Mitratech,mitratech,2026-07-22,39,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
The Right Hire Latam,the right hire,2026-07-22,39,0,0,0,0,0,0,0,0,0,0,0,0,,LATAM_USD_LIKELY,0.85,LATAM/nearshore keyword in company name,
Joyit,joyit,2026-07-21,40,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Knowtrex GmbH,knowtrex,2026-07-20,41,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Muttdata,muttdata,2026-07-17,44,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
CLOOUD,clooud,2026-07-16,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
AIVI (previously known as 6thStreet),aivi previously known as 6thstreet,2026-07-16,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Instituto Daryus,instituto daryus,2026-07-15,46,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Mas Insights,mas insights,2026-07-14,47,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Munich Re Specialty,munich re specialty,2026-07-11,50,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Key2 Research,key2 research,2026-07-06,55,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Principal Financial Group,principal financial,2026-07-03,58,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
NIR-YU,nir yu,2026-07-02,59,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Prosas,prosas,2026-07-02,59,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
BIGCORE,bigcore,2026-07-01,60,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
ExploreK12,explorek12,2026-07-01,60,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Hireincrypto,hireincrypto,2026-06-26,65,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Latino Legends,latino legends,2026-06-24,67,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Sylvamo,sylvamo,2026-06-23,68,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Neohype,neohype,2026-06-23,68,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Cteam-Gruppe,cteam gruppe,2026-06-23,68,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Insight Kitchen,insight kitchen,2026-06-22,69,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
BasaGo Jobs,basago jobs,2026-06-19,72,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
National Armaments Director Group,national armaments director,2026-06-17,74,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
OCX,ocx,2026-06-11,80,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Alphabyte AI,alphabyte ai,2026-06-05,86,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Associação Comercial do Paraná,associacao comercial do parana,2026-06-03,88,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
TRACTIAN,tractian,2026-06-02,89,0,0,0,0,0,0,0,0,0,0,0,0,,BRAZIL_CONFIRMED,0.9,exact company dictionary match: tractian,
LinkedIn Guide to Creating,linkedin guide to creating,2026-06-01,90,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Hotnews.pt,hotnews pt,2026-05-29,93,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
JUIT,juit,2026-05-28,94,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
GL events,gl events,2026-05-28,94,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
ANDRITZ Brazil,andritz,2026-05-28,94,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Press Ganey,press ganey,2026-05-18,104,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Mokkup.ai,mokkup ai,2026-05-18,104,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Recodme,recodme,2026-05-18,104,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
ecos work spaces,ecos work spaces,2026-05-15,107,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
Atain,atain,2026-05-15,107,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_NEEDS_REVIEW
