company_clean,connection_count,avg_priority_score,top_persona
Clube BoraFazer,1,8.0,Other
Clikalia,1,24.0,HR
Clicksign,1,27.0,Data Engineer
ClearBlu Environmental,1,27.0,Operations
Clay,1,18.0,Other
ClarityLane,1,12.0,Other
Clarios,1,18.0,Other
Claranet,1,33.0,Data Engineer
Clara,1,15.0,Other
Cisco,1,12.0,Other
Circo Kroner,1,12.0,Other
Cinco tareas,1,13.0,Other
Churchill Group,1,21.0,Other
Compass.uol,1,15.0,Consultant
Compagas,1,21.0,HR
Comercial 10x,1,8.0,Other
Comax smart E.R.P,1,27.0,Product
Colégio Apoio,1,8.0,Other
Colegio y Liceo Hans Christian Andersen,1,25.0,Other
Colegio integral minas,1,12.0,Other
CoinDCX,1,23.0,Data Engineer
Codexi,1,20.0,Other
Coders Hire Private Limited,1,34.0,HR
CodeSmash,1,25.0,Software Engineer
CoE | Centro de Excelência Votorantim,1,27.0,HR
Clínica particular Niños y adolescentes. Clinica del Niño Harwood Care,1,12.0,Other
Clínica de Psicoterapia - Ame Rio Verde-GO,1,8.0,Other
Clínica Psicológica,1,12.0,Other
Clínica Odonto Saúde & Estética Dental Clinic,1,12.0,Other
Consultora Citrino,1,19.0,Consultant
Consultant / Self-Employed,1,27.0,Data Engineer
Consulta privada Psicoterapia,1,39.0,Other
Constructor,1,24.0,Data Analyst
Constellium,1,34.0,HR
Conflux,1,19.0,Consultant
Confidential ( Stealth Mode ),1,30.0,Data Analyst
Confeitaria Moriê,1,8.0,Other
Conexões Psi,1,8.0,Other
ConectCar,1,27.0,Product
Conductor,1,33.0,Data Engineer
Cona Consultores,1,12.0,Other
ComunidadFeliz.com,1,21.0,HR
Comunidad Delosi,1,15.0,Other
CompuGroup Medical SE & Co. KGaA,1,24.0,HR
Complexity Science Hub Vienna,1,12.0,Other
Cresol Cooperativa,1,8.0,Other
Crescent Global LLC,1,24.0,Operations
CredAluga,1,23.0,Other
CreateFuture,1,16.0,Other
Covetrus,1,31.0,HR
Corporación AG,1,17.0,HR
Corpo Forte Fitness Center,1,12.0,Other
CoreMatch UG (haftungsbeschränkt),1,12.0,Other
Cora,1,30.0,Data Scientist
Copabo Indústria,1,18.0,Other
Coopeuch,1,21.0,HR
Convixion,1,31.0,HR
Convert,1,18.0,Other
Convene,1,14.0,Other
Consultório de Psicoterapia,1,12.0,Other
Consultório Particular,1,8.0,Other
DD Infosoft Pvt. Ltd. India,1,27.0,HR
DC Engineers B.V,1,12.0,Other
DC Beauty Cosmetics,1,8.0,Other
DB1 Group,1,22.0,Other
DB Systel GmbH,1,19.0,Consultant
DAMEDIC GmbH,1,23.0,Other
DAC Beachcroft,1,19.0,Consultant
D&R Distribuidora de Bebidas,1,37.0,HR
Círculo CRM,1,12.0,Other
Cynergy2,1,20.0,Other
Cygnus Professionals Inc,1,14.0,Other
CyberHULL,1,22.0,Other
Custom Market Insights™,1,18.0,Other
Cury Construtora,1,12.0,Other
Curbelo - Cianci & Asociados,1,12.0,Other
Cuesta Partners,1,18.0,Other
Danone,1,24.0,Data Analyst
Dall Energy,1,31.0,HR
Daki,1,19.0,Other
Dadoteca,1,12.0,Other
Dadosfera,1,8.0,Other
DadosPower.com.br,1,47.0,Other
DZ BANK AG,1,22.0,Other
DUO GROUP,1,15.0,Consultant
DSOP Educação Financeira,1,21.0,HR
DPT - Departamento de Polícia Técnica,1,11.0,Other
DPS - Das Prüfunternehmen,1,32.0,HR
DP World,1,27.0,HR
DOT LABS,1,27.0,Data Engineer
DNX Soluções Tecnológicas,1,8.0,Other
DHL Global Forwarding,1,17.0,HR
DFL Deutsche Fußball Liga,1,21.0,HR
Descartes Systems Group,1,30.0,Data Scientist
"Department of Posts, India",1,15.0,Other
Department of Culture and Tourism – Abu Dhabi (DCT Abu Dhabi),1,8.0,Other
Denholm Associates,1,19.0,Other
Deltacubes,1,12.0,Other
Delta A Salud,1,15.0,Other
Delfia S/A,1,12.0,Other
Deftsoft,1,30.0,HR
Deep,1,24.0,Data Scientist
Deal,1,17.0,HR
Daxtrio,1,12.0,Other
Datlo,1,12.0,Other
Datial,1,28.0,HR
Dasbanq,1,19.0,Consultant
Darwin Insurance,1,24.0,Data Scientist
Danubius IT Solutions,1,25.0,Other
Doctolib GmbH,1,20.0,Other
Docket,1,25.0,Other
Dock,1,23.0,Other
Diálogo Logística - Empresa da BBM Logística,1,33.0,Data Engineer
Dito CRM,1,21.0,HR
Direzione Servizi Srl,1,12.0,Other
Dirección de Servicio de Salud Metropolitano Oriente,1,12.0,Other
Diksha Australia,1,23.0,Other
Digitanity,1,15.0,Other
Diamond National Investments,1,35.0,HR
Develative,1,23.0,Other
DevIQ,1,23.0,Data Engineer
Deutsche WertpapierService Bank AG,1,24.0,HR
Deutsche Angestellten Akademie (DAA),1,8.0,Other
Descomplica,1,19.0,Consultant
Descasio,1,31.0,HR
EGPA Design,1,8.0,Other
EFutures,1,31.0,HR
EF Global Career,1,11.0,Other
EBANX,1,35.0,Data Engineer
EAE Solutions,1,21.0,HR
E.ON,1,20.0,Other
DynamicCare Benefícios,1,54.0,Data Engineer
Dutch TecSource B.V,1,12.0,Other
Dunbia Group,1,21.0,HR
Dualis,1,27.0,Project / Program Manager
Driva,1,18.0,Other
Doutor Finanças,1,12.0,Other
"Douro Acima-Transportes Turismo e Restauração, Lda",1,12.0,Other
Dorko,1,31.0,HR
Donna,1,8.0,Other
Doctoralia México,1,12.0,Other
EcoVidaPlast,1,15.0,Consultant
Easy Carros,1,50.0,Product
EUROCONTROL,1,19.0,Other
ETFbook,1,27.0,Data Engineer
ETEK,1,18.0,Other
ETEGEC,1,12.0,Other
ESSOR Seguros S.A,1,13.0,Other
EQUYVA,1,19.0,Consultant
EQT Group,1,23.0,Other
EPI-USE DACH,1,38.0,Consultant
EP Carreira e Recolocação,1,8.0,Other
ENABL A/S,1,8.0,Other
EMSUR,1,37.0,HR
EMSERH - Empresa Maranhense de Serviços Hospitalares,1,25.0,Software Engineer
ELOS CAPITAL HUMANO,1,12.0,Other
ELIS,1,12.0,Other
Emers Vietnam,1,27.0,HR
Emapta Global,1,27.0,HR
Em Transição de Carreira - In Career Transition,1,8.0,Other
Ello Pessoas e Negócios,1,12.0,Other
Elevation,1,18.0,Other
Elements,1,30.0,HR
Elegance Pharmaceuticals,1,12.0,Other
Eldar,1,24.0,HR
El de Fiar,1,28.0,Other
El Barranquitruck,1,22.0,Other
Ejercicio Independiente de la profesión,1,12.0,Other
Eixo Recursos Humanos,1,21.0,HR
Efí Bank,1,20.0,Data Analyst
Edmunds,1,18.0,Other
Eden,1,19.0,Other
Econosoft Inc,1,18.0,Other
Associação Comercial do Paraná,1,27.0,Data Analyst
Associacao Junior Achievement Do Rio Grande Do Sul,1,13.0,Other
Asset Management,1,23.0,Other
"Entropy - Develop People, Elevate Teams",1,27.0,Data Engineer
Enroute,1,21.0,Other
Enpal,1,12.0,Other
Engenova Construções,1,8.0,Other
Engemon Operation Services,1,21.0,HR
Engemon IT,1,17.0,HR
Engemon Engenharia & Construção,1,19.0,Other
Enerquin,1,18.0,Other
Endress+Hauser Gruppe,1,23.0,Other
Endeavor Labs,1,27.0,HR
Encuadrado,1,26.0,Other
Empresas Melón,1,21.0,HR
Empresa Confidencial,1,15.0,Consultant
EquiTalent,1,16.0,Other
Eqib | The Human Factor,1,19.0,Consultant
EpsiHome,1,24.0,Data Scientist
AudioCodes,1,18.0,Other
Attach Group,1,26.0,Other
Atruvia AG,1,23.0,Other
Atomic Layer Deposition,1,27.0,Project / Program Manager
Atmosera,1,25.0,Consultant
Atlântico,1,33.0,Data Engineer
Atlas NextWave,1,25.0,Consultant
Atlas Governance,1,23.0,Other
Astrana Health,1,33.0,Data Engineer
Astra Financial Indonesia,1,30.0,Data Engineer
Astellas Pharma,1,12.0,Other
AssureSoft,1,27.0,HR
Assurant,1,12.0,Other
Evers GmbH,1,12.0,Other
Evercam,1,21.0,Other
Evaria XXI S.L,1,34.0,HR
European Society of Radiology,1,32.0,HR
European Investment Bank (EIB),1,16.0,Other
Eureka - Consultores,1,15.0,Other
Etengo,1,22.0,Other
Estuary,1,27.0,Software Engineer
Estratég.IA Financeira e Analítica,1,19.0,Consultant
EssilorLuxottica,1,20.0,HR
Essential BPO,1,8.0,Other
Essent,1,27.0,Data Engineer
Escola do Futuro Do Estado De Goias,1,12.0,Other
Escola Conquer,1,12.0,Other
Escavador,1,24.0,HR
Erzbistum Köln,1,8.0,Other
FS Partners,1,19.0,Consultant
FPC TISSUE S.P.A,1,12.0,Other
FONPLATA,1,22.0,Consultant
FLEXECHARGE,1,18.0,Other
FITZ,1,18.0,Other
FIEMG,1,12.0,Other
FICO,1,20.0,Other
FAPESB,1,8.0,Other
FAMAR,1,34.0,HR
F&J Consultants,1,27.0,Data Engineer
Explortal Logistics,1,10.0,Operations
Explora,1,18.0,Other
ExitLag,1,27.0,Data Engineer
Exadel,1,33.0,Data Engineer
Exactpi Recruitment & More,1,22.0,Other
Eviden,1,23.0,Project / Program Manager
Fathom.io,1,33.0,Data Engineer
Fatec São Bernardo do Campo Adib Moises Dib,1,12.0,Other
Fast Dolphin,1,11.0,Other
Farod Estatísticas,1,24.0,Data Scientist
Farmers Insurance,1,27.0,Project / Program Manager
Farmacorp,1,15.0,Other
Farmacie Lombardi Group,1,12.0,Other
Farmacias Ahumada,1,18.0,Other
Familia en Equilibrio,1,15.0,Consultant
Familhão,1,25.0,Product
Falabella Financiero,1,15.0,Other
