company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
FARM Rio,1,0,0,0,0,1,27.0,Data Engineer,Data Engineering,13.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Ministério da Cultura,1,0,0,0,0,1,27.0,Data Engineer,Data Engineering,13.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Patriot Real Estate,1,0,0,0,0,0,27.0,HR,Management,13.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Prefeitura de São Paulo,1,0,0,0,0,0,27.0,Other,Other,13.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Ryanair - Europe's Favourite Airline,1,0,0,0,0,1,27.0,Data Engineer,Data Engineering,13.6,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Brasilseg,1,0,0,0,0,0,26.0,Project / Program Manager,Management,13.1,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
Senator Executive Search Partners,3,0,0,0,0,0,25.0,Other,Other,12.8,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'executive search',,,
Centro Universitário Belas Artes de São Paulo,1,0,0,0,0,0,24.0,Other,Other,12.1,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Centro Universitário Senac,1,0,0,0,0,1,24.0,Data Analyst,Analytics,12.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
DRH Temporários e Terceirizados,1,0,0,0,0,0,24.0,HR,HR,12.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Grupo Flox RS (O Boticário),1,0,0,0,0,0,24.0,HR,HR,12.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Rio Ônibus,1,0,0,0,0,0,24.0,HR,HR,12.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Talent Replacement | Carreira Internacional,1,0,0,0,0,0,24.0,Operations,Management,12.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'placement',,,
Self-Employed Contractor,2,0,0,0,0,0,23.0,Consultant,Consulting,11.7,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'contractor',,,
Brio Digital,1,0,0,0,0,0,23.0,Consultant,Consulting,11.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Global RIO Serviços,1,0,0,0,0,0,23.0,Software Engineer,Software Engineering,11.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
FRED Executive Search,2,0,0,0,0,0,22.5,Consultant,Consulting,11.4,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'executive search',,,
Amplifi (Europe),1,0,0,0,0,0,22.0,Other,Management,11.1,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Centro Universitário São Camilo,1,0,0,0,0,0,22.0,HR,HR,11.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Escritório Contábil Metrópole,1,0,0,0,0,0,22.0,HR,HR,11.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
INSTITUIÇÃO BAIANA DE ENSINO SUPERIOR LTDA - Faculdade DOM PEDRO II,1,0,0,0,0,0,22.0,Other,Other,11.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
NEO Executive Search,1,0,0,0,0,0,22.0,Other,Management,11.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'executive search',,,
Various Companies,1,0,0,0,0,0,22.0,Other,Management,11.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
ABGR Associação Brasileira de Gerência de Riscos,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
ABTEC Associação Brasileira de Educação e Tecnologia (FIAP),1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
Abria - Associação Brasileira de Inteligência Artificial,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
Brazilcore,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'brazil',,,
Centro Universitário Adventista de São Paulo,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Escritório Braga Contabilidade,1,0,0,0,0,0,21.0,HR,HR,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Friday Marketing Imobiliário,1,0,0,0,0,0,21.0,HR,HR,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Hospital São Paulo - Ribeirão Preto,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
IBICT - Instituto Brasileiro de Informação em Ciência e Tecnologia,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
PMI São Paulo,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Senac São Paulo,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
USP - Universidade de São Paulo,1,0,0,0,0,0,21.0,Other,Other,10.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Europe Careers,1,0,0,0,0,0,19.0,Consultant,Consulting,9.6,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Misión de Observación Electoral de la Unión Europea,1,0,0,0,0,0,19.0,Other,Other,9.6,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
PrecNacional Consultoria em Direitos Creditórios,1,0,0,0,0,0,19.0,Software Engineer,Software Engineering,9.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
CIEE Rio,1,0,0,0,0,0,18.0,Other,Management,9.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Consultorio privado,1,0,0,0,0,0,18.0,Other,Other,9.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Fundo Social de São Paulo,1,0,0,0,0,0,18.0,Other,Other,9.1,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
TOGNI S/A Materiais Refratários,1,0,0,0,0,0,18.0,Other,Other,9.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Transbahia Transportes Ltda,1,0,0,0,0,0,18.0,Other,Other,9.1,BRAZIL,HIGH,company name contains geographic keyword: 'bahia',,,
Clube Curitibano,1,0,0,0,0,0,17.0,Other,Other,8.6,BRAZIL,HIGH,company name contains geographic keyword: 'curitiba',,,
Governo do Estado de São Paulo,1,0,0,0,0,0,17.0,Other,Other,8.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Hospital Regional São Paulo,1,0,0,0,0,0,17.0,Other,Other,8.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Grupo ARION,2,0,0,0,0,0,16.5,Other,HR,8.4,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
European Investment Bank (EIB),1,0,0,0,0,0,16.0,Other,Other,8.1,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Familia en Equilibrio,1,0,0,0,0,0,15.0,Consultant,Consulting,7.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,1,0,0,0,0,0,15.0,Other,Other,7.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Outsourced,1,0,0,0,0,0,15.0,Other,Other,7.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'outsourc',,,
Pontifícia Universidade Católica do Rio Grande do Sul,1,0,0,0,0,0,15.0,Other,Other,7.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
UniCEUB - Centro Universitário de Brasília,1,0,0,0,0,0,15.0,Other,HR,7.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Associacao Junior Achievement Do Rio Grande Do Sul,1,0,0,0,0,0,13.0,Other,Other,6.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
ESPM Escola Superior de Propaganda e Marketing,1,0,0,0,0,0,13.0,Other,Other,6.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Hospital Rio Grande,1,0,0,0,0,0,13.0,Other,Other,6.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
O Boticário,1,0,0,0,0,0,13.0,Other,Other,6.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Petrobahia S.A,4,0,0,0,0,1,12.0,Other,Other,6.4,BRAZIL,HIGH,company name contains geographic keyword: 'bahia',,,
BVM Headhunting,1,0,0,0,0,0,12.0,Other,Other,6.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'headhunting',,,
Capriole Coffee Service | B Corp™,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Centro Universitário FMU | FIAM-FAAM,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Consultório de Psicoterapia,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Daxtrio,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
ECar - Escritório de Desenvolvimento de Carreiras USP,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Easy Headhunting,1,0,0,0,0,0,12.0,Other,Other,6.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'headhunting',,,
Private Projects & Job Hunting,1,0,0,0,0,0,12.0,Other,Other,6.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'hunting',,,
Toledo Prudente Centro Universitário,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
UNI7 - Centro Universitário 7 de Setembro,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Universidade Federal do Rio Grande do Sul,1,0,0,0,0,0,12.0,Other,Other,6.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
INCRA - Ministério do Desenvolvimento Agrário,1,0,0,0,0,0,11.0,Other,Other,5.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
MetrôRio,1,0,0,0,0,0,11.0,Other,Other,5.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Outsourced Pro Global,1,0,0,0,0,0,11.0,Other,Other,5.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'outsourc',,,
"OKÊ Temporários, Terceirização e Tecnologia",1,0,0,0,0,0,9.0,Other,Other,4.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
CEGIST | Centre for Management Studies of Instituto Superior Técnico,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Casa e Campo produtos agropecuários LTDA,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Centro Universitário SENAI CIMATEC,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Clínica de Psicoterapia - Ame Rio Verde-GO,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Consultório Particular,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Prefeitura Municipal de Entre Rios,1,0,0,0,0,0,8.0,Other,Other,4.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
